                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 1.2679,                0.71879,                 1.1255,                0.98206,                0.33644,                0.43696,                0.33271,                    nan,                    nan,                    nan,               0.006667,               0.006667,               0.006667
                    103,                  1.278,                0.71263,                 1.1238,                0.97745,                0.33709,                0.42044,                0.31891,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                    104,                 1.2672,                 0.7185,                 1.1259,                0.98428,                0.33709,                 0.4471,                0.33963,                    nan,                    nan,                    nan,               0.006601,               0.006601,               0.006601
                    105,                 1.2745,                 0.7245,                 1.1266,                0.99088,                0.33395,                0.45361,                0.34939,                    nan,                    nan,                    nan,               0.006568,               0.006568,               0.006568
                    106,                 1.2534,                0.71068,                 1.1288,                0.99303,                0.33607,                0.44558,                0.34167,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                    107,                 1.2575,                0.71774,                  1.122,                0.98516,                0.33607,                0.43299,                0.32794,                    nan,                    nan,                    nan,               0.006502,               0.006502,               0.006502
                    108,                 1.2527,                0.70876,                 1.1209,                0.98539,                0.33709,                0.42897,                0.32404,                    nan,                    nan,                    nan,               0.006469,               0.006469,               0.006469
                    109,                 1.2471,                 0.7106,                 1.1243,                0.97479,                0.33607,                0.42345,                0.32231,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                    110,                 1.2564,                0.71475,                 1.1141,                0.98967,                0.33709,                0.43178,                0.33043,                    nan,                    nan,                    nan,               0.006403,               0.006403,               0.006403
                    111,                 1.2582,                0.71103,                 1.1267,                0.97067,                0.33607,                0.44884,                0.33983,                    nan,                    nan,                    nan,                0.00637,                0.00637,                0.00637
                    112,                 1.2451,                0.70309,                 1.1212,                0.96779,                0.33859,                0.43391,                0.33249,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                    113,                 1.2457,                0.69595,                 1.1181,                0.97771,                0.33811,                0.45356,                0.35041,                    nan,                    nan,                    nan,               0.006304,               0.006304,               0.006304
                    114,                 1.2525,                0.70362,                  1.121,                0.97807,                0.33607,                0.45302,                0.34973,                    nan,                    nan,                    nan,               0.006271,               0.006271,               0.006271
                    115,                 1.2472,                0.69992,                  1.117,                0.98204,                0.33616,                0.45614,                0.34984,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                    116,                 1.2352,                0.69153,                  1.118,                0.97623,                0.33709,                 0.4575,                0.35282,                    nan,                    nan,                    nan,               0.006205,               0.006205,               0.006205
                    117,                 1.2537,                0.70785,                  1.121,                0.97907,                0.33555,                0.45404,                0.35169,                    nan,                    nan,                    nan,               0.006172,               0.006172,               0.006172
                    118,                 1.2437,                0.70393,                 1.1191,                0.97475,                0.33607,                0.45865,                0.35603,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                    119,                 1.2359,                 0.6943,                 1.1136,                0.98954,                0.33607,                 0.4415,                0.34297,                    nan,                    nan,                    nan,               0.006106,               0.006106,               0.006106
                    120,                 1.2332,                0.69044,                 1.1124,                0.98895,                0.33504,                0.44943,                0.34358,                    nan,                    nan,                    nan,               0.006073,               0.006073,               0.006073
                    121,                 1.2351,                0.68989,                 1.1124,                0.97922,                0.33803,                0.45525,                 0.3493,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                    122,                 1.2315,                0.69698,                 1.1167,                0.98066,                0.33811,                0.46173,                0.35577,                    nan,                    nan,                    nan,               0.006007,               0.006007,               0.006007
                    123,                  1.241,                0.69433,                 1.1134,                0.98636,                0.33709,                0.44298,                0.34374,                    nan,                    nan,                    nan,               0.005974,               0.005974,               0.005974
                    124,                 1.2457,                0.68604,                 1.1134,                0.97048,                0.33679,                0.44653,                0.34731,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                    125,                  1.223,                0.68659,                 1.1076,                0.98798,                0.33676,                0.43884,                0.33848,                    nan,                    nan,                    nan,               0.005908,               0.005908,               0.005908
                    126,                 1.2394,                0.67192,                 1.1116,                0.98586,                0.33709,                0.44938,                0.34683,                    nan,                    nan,                    nan,               0.005875,               0.005875,               0.005875
                    127,                  1.217,                0.67495,                 1.1077,                0.98781,                0.33709,                  0.463,                0.36016,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                    128,                  1.225,                0.67835,                 1.1113,                0.98165,                0.33607,                0.45794,                0.35674,                    nan,                    nan,                    nan,               0.005809,               0.005809,               0.005809
                    129,                 1.2296,                0.67968,                 1.1128,                0.98795,                0.33596,                0.45305,                0.35263,                    nan,                    nan,                    nan,               0.005776,               0.005776,               0.005776
                    130,                 1.2162,                0.67882,                 1.1094,                0.98748,                0.33709,                0.44164,                0.34148,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                    131,                 1.2119,                  0.678,                  1.103,                0.99209,                0.33709,                0.45527,                0.35408,                    nan,                    nan,                    nan,                0.00571,                0.00571,                0.00571
                    132,                 1.2136,                0.67314,                 1.0997,                  0.988,                0.33709,                0.45989,                0.35988,                    nan,                    nan,                    nan,               0.005677,               0.005677,               0.005677
                    133,                   1.22,                0.67738,                 1.1065,                0.98736,                0.33709,                0.44877,                0.35148,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                    134,                 1.2031,                0.67177,                 1.1009,                0.97094,                0.33914,                 0.4509,                0.35372,                    nan,                    nan,                    nan,               0.005611,               0.005611,               0.005611
                    135,                 1.1991,                0.66527,                 1.0967,                 0.9752,                0.33811,                 0.4481,                 0.3531,                    nan,                    nan,                    nan,               0.005578,               0.005578,               0.005578
                    136,                 1.2113,                0.66603,                 1.0962,                0.96684,                0.33709,                0.45533,                0.35887,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                    137,                 1.2253,                0.67647,                 1.1051,                0.97639,                0.33893,                0.45279,                 0.3577,                    nan,                    nan,                    nan,               0.005512,               0.005512,               0.005512
                    138,                 1.2105,                0.65803,                 1.0997,                 0.9835,                0.33709,                0.45425,                 0.3593,                    nan,                    nan,                    nan,               0.005479,               0.005479,               0.005479
